avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
407.5,511.4,173.5,248.8,275.5,374.6,409.2,429.0,443.8,463.4,489.3,529.6,643.3,7800.8,17235.1,5034.8,5000
481.6,358.0,160.7,239.1,263.4,461.5,539.8,576.7,601.7,631.4,669.0,725.5,875.0,5041.7,10007.7,9938.0,10000
550.5,429.2,173.5,237.3,266.3,519.8,620.1,675.8,714.5,756.4,806.0,876.8,1036.5,6792.5,15166.5,14989.4,15000
589.7,417.9,173.5,244.0,272.2,562.6,666.7,732.5,781.2,836.2,901.0,989.2,1173.3,4078.0,15874.4,19941.2,20000
596.6,432.5,173.5,242.7,267.3,559.7,670.4,744.6,803.7,871.8,952.6,1064.8,1298.0,4298.1,16010.3,25019.0,25000
618.9,556.6,160.7,243.5,271.2,587.4,691.5,757.6,812.7,884.5,970.3,1081.8,1356.5,7271.4,19630.4,29979.6,30000
629.9,461.2,160.7,240.6,268.9,593.0,718.4,789.9,844.7,911.9,997.9,1122.4,1459.2,6265.9,16206.6,34844.8,35000
630.4,457.0,160.7,248.7,278.9,595.8,719.1,789.7,842.4,907.0,993.0,1120.0,1452.5,5045.6,16209.2,39922.8,40000
626.8,450.1,160.7,249.5,279.6,555.1,689.0,782.2,856.0,945.0,1060.7,1229.4,1524.4,3873.4,19219.5,44989.0,45000
1343.8,963.4,173.5,664.1,937.1,1193.4,1263.6,1318.8,1374.5,1889.8,2235.7,2375.0,2614.2,15605.5,32285.1,47771.1,50000
1375.6,959.2,187.4,1001.2,1039.1,1176.9,1244.6,1279.7,1360.8,2053.8,2223.2,2340.1,2544.6,16623.6,32773.8,48931.2,55000
