avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
3758.5,3112.1,173.5,1963.6,3056.7,3371.5,3451.9,3489.7,3824.1,3900.2,3976.3,4052.4,22415.2,34288.2,46102.7,4952.6,5000
2710.2,2439.5,187.4,288.6,331.8,3319.3,3412.5,3456.4,3483.8,3601.1,3748.9,3940.3,9951.5,30230.7,37239.1,9969.6,10000
1881.6,2132.4,173.5,309.8,365.7,722.1,3296.9,3379.0,3430.3,3481.6,3604.3,3742.3,4267.3,29537.2,38191.6,14990.4,15000
1643.6,1963.4,173.5,331.5,409.6,816.4,1135.0,3303.3,3417.0,3537.9,3672.2,3908.0,5730.9,28867.9,36846.4,19962.4,20000
1523.9,1901.3,173.5,330.6,405.5,840.3,1109.4,1454.4,3331.3,3494.4,3671.6,3969.6,5350.8,29088.3,35673.9,24932.4,25000
3106.9,4468.2,236.1,965.5,1026.2,1262.8,2315.6,4877.3,5003.5,5131.6,5818.6,6654.4,30632.4,39459.9,55775.7,25859.0,30000
3080.5,4434.2,218.6,982.3,1035.6,1249.5,2260.6,4856.5,4990.0,5123.5,6016.1,8965.1,30629.3,39042.9,53702.8,25897.4,35000
3071.0,4429.5,187.4,970.1,1029.5,1246.6,2255.4,4855.5,4984.1,5112.7,5921.9,8922.6,30486.3,40320.4,50840.1,26074.6,40000
3057.2,4410.2,187.4,951.0,1011.5,1231.0,2199.0,4845.4,4984.1,5122.8,6013.0,9022.5,30365.1,38765.0,50399.0,26248.4,45000
3066.9,4473.4,275.4,965.8,1021.3,1228.4,2207.3,4843.5,4973.5,5103.6,5905.6,8992.8,30785.5,37619.1,46999.0,26263.2,50000
3049.9,4358.3,255.0,952.2,1007.6,1244.0,2276.2,4867.4,4988.1,5108.7,5796.4,6449.6,30609.4,38043.7,51277.2,26276.2,55000
