avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
546.8,1462.1,173.5,238.7,268.8,415.2,470.0,501.6,524.8,550.3,590.0,671.0,3947.6,31024.9,38459.9,4964.8,5000
536.6,581.4,173.5,232.6,256.4,480.0,578.2,633.0,672.4,718.6,776.8,865.2,1858.3,7100.0,30112.6,10006.6,10000
616.5,986.1,173.5,233.4,258.5,530.3,648.8,723.8,776.7,836.9,911.1,1028.0,1661.7,11853.9,39705.7,15003.6,15000
649.2,783.9,173.5,234.1,260.7,577.7,697.9,773.0,830.5,896.5,978.9,1098.5,1893.5,11703.5,31520.7,20162.8,20000
650.4,362.4,173.5,238.3,267.5,629.5,761.2,832.2,881.9,941.5,1023.2,1150.3,1427.1,3922.1,11629.0,24980.8,25000
677.0,714.3,173.5,236.9,266.0,623.2,767.7,841.6,894.6,958.5,1046.9,1176.3,1669.5,12937.6,30872.4,30053.6,30000
706.4,662.3,173.5,242.4,275.0,644.0,807.1,884.6,939.3,1010.4,1104.8,1259.3,1958.3,8752.9,28041.7,34871.0,35000
715.4,696.6,160.7,240.3,275.0,620.7,792.4,890.9,965.4,1052.3,1161.3,1355.9,2137.5,8801.2,30444.7,39894.6,40000
1533.8,1188.8,160.7,1107.9,1161.9,1320.2,1378.0,1439.1,1486.5,1866.6,2444.6,2620.5,3021.5,22830.8,32357.5,43737.1,45000
1522.3,1247.2,173.5,1105.8,1132.7,1271.9,1345.0,1383.1,1478.9,2206.0,2415.8,2544.4,3210.2,24298.2,35270.0,44873.8,50000
1517.5,1232.2,187.4,1110.8,1141.3,1275.0,1343.8,1378.7,1458.8,2113.9,2415.9,2542.6,2992.5,22047.2,34274.5,45020.0,55000
