type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
1,306.3,215.3,160.7,214.9,225.2,286.2,319.0,339.9,355.5,373.5,398.0,432.5,505.0,1763.1,10244.8,30043.4,30000,1714825357699,1714825367878
1,303.7,176.0,160.7,213.5,224.2,285.8,318.7,339.4,355.0,373.3,397.8,432.0,500.1,1213.3,8087.4,30059.4,30005,1714825369384,1714825379524
1,301.0,170.3,160.7,212.3,223.1,281.7,314.3,334.5,349.1,368.8,393.9,430.1,500.7,1675.0,8050.7,30081.6,30010,1714825381032,1714825391150
1,301.2,159.5,160.7,211.4,222.8,284.8,317.0,336.7,350.9,369.1,392.9,427.0,495.3,1272.0,7988.4,30001.4,30015,1714825392658,1714825402779
1,304.6,196.2,160.7,213.2,224.1,286.0,318.6,338.9,353.8,371.8,396.3,430.9,500.2,1720.9,8751.4,29895.8,30020,1714825404287,1714825414401
1,304.1,180.4,173.5,213.9,224.6,286.2,318.6,338.8,353.8,371.7,395.9,430.4,500.7,1532.8,7957.2,29923.5,30025,1714825415906,1714825426028
1,301.0,171.3,160.7,210.7,221.9,282.5,316.0,336.6,351.6,370.4,395.0,429.6,498.6,1382.9,7979.8,30137.2,30030,1714825427535,1714825437651
1,304.2,195.7,160.7,212.9,223.9,284.9,317.3,337.6,352.7,371.2,396.0,431.4,501.3,2067.4,8495.5,29980.7,30035,1714825439158,1714825449274
1,304.4,189.7,160.7,213.9,224.7,287.0,319.0,338.8,353.3,371.1,395.1,428.9,496.5,1424.1,8658.7,30010.7,30040,1714825450783,1714825460898
1,301.5,194.0,160.7,210.9,222.1,281.7,314.5,335.0,350.0,369.1,394.0,429.3,501.5,1600.7,9491.1,30010.4,30045,1714825462405,1714825472519
1,309.2,216.8,160.7,212.2,224.2,290.0,323.5,343.8,359.9,378.0,402.2,436.5,509.6,1848.1,9862.5,30085.0,30050,1714825474026,1714825484148
